slotId,deposit,burnRate,Adj_deposit,Adj_burnRate,owner,transactionHash,timestamp,gasUsed,gasPrice,ethSpent
31,6.09E+20,1.00E+11,609.45,0.01,0xE864166688e95618920e32619753E23175f189ce,"b'\xbc\x05\xfa\xd6\n\x8f\xfc\x98e\xf2\xcc\xdaqa\x1cr\x0f+\x85\x92\xf6\x02\xde{\xe8>\x9e,\xcf\xaf\xf0h'",1621275568,174409,1.41E+11,0.024591669
18,2.00E+20,10000000,200,0,0xED6F4Cd9288FB42F9E119F663B810bE25E857D0B,"b'\xca\x91\xde\x05\x85s\x0b\xc6\xd3\x89=X\x00Y\x9b\xdfb\xc3\xa1\xeco^0\x92\xe4\xca""\xdd\xd6?\xd2\x98'",1621275658,190167,1.28E+11,0.024341376
5,2.00E+20,10000000,200,0,0xED6F4Cd9288FB42F9E119F663B810bE25E857D0B,b';\x8d\xf2\x1b/%R\xa1U\xfd\xf1\x9d\xa0\xe5\xdd\xb9\x89\xfc`\xacF\xaa\x98\x1aDN\x16P\xa1%\x95\xeb',1621276088,174397,1.31E+11,0.022846007
4,2.00E+20,10000000,200,0,0xED6F4Cd9288FB42F9E119F663B810bE25E857D0B,b'D\xbc\xd44{U\xd6\xadK\xbeO\xac\r+\x82\xd1\xdcG\xb3!w\x8e\xaf8\xec=\xab\xddF\xdd\xa6\xdb',1621276179,174397,1.28E+11,0.022322816
44,1.00E+21,0,1000,0,0xbD75540343904343A49E084523596Ed8d9978d7b,b'\x06\x19e\\\xaa\x93\xe3\x95\x92\x8b\xe7p\x02M%%\xe1\x10\n\x1f\xb0\x00\x1a\x8ca\xdf\\n\x16f\xd1_',1621276577,171561,1.06E+11,0.018185466
6,1.00E+21,0,1000,0,0xbD75540343904343A49E084523596Ed8d9978d7b,b'\xd1\xb4\x04\x94\xd0\xa4\x81_z\xcd~B\xf0uKWOiv\xd3h\xa9\xc3\xf1\xe0\x13Z\x19\x85\\\x14\xae',1621276778,154461,1.09E+11,0.016836249
13,5.13E+19,1.00E+11,51.31,0.01,0x012CAe16d4c2C4EA8D1DAbAA193f0ac5a5F33c47,b'\x9f/N-\xa8\xeb\x14\x15\x1cG\xa8!nn\x9d\xdf4\xdfaGLtr\xdeK\xe5\xb4\x19\x84\x11[\xbc',1621276778,206509,1.06E+11,0.021889954
21,5.00E+20,0,500,0,0xbD75540343904343A49E084523596Ed8d9978d7b,"b""\x07\x96Wx\xf4\x8ea\x08]\xd9,'\x9dF\x08\x0b|\x81o9\xd2*/\xbc\xe7&=2x>\x8a\x99""",1621277116,154461,1.35E+11,0.020852235
21,1.00E+21,5.00E+11,1000,0.05,0x0788373603522a79fCC5710910C20067f64BAD17,b'b\xa6\x81\xfdb\x1b\xdaN\xd6{\xbe\xf8\xe2\x1dd\xc8\xdf<a\xc8\x9c\xca\xa6%\xdd\x87\xder\x12;?\x7f',1621277136,205179,1.01E+11,0.020723079
45,2.00E+20,100000000,200,0,0xED6F4Cd9288FB42F9E119F663B810bE25E857D0B,"b'2\xc9\xc7\x9b\x91\x83\xcb>0\xe0N""""\xe6\x92\xcb\x9e\x9b2\x9bF\x8d\x10GI\xc1$\x8f&\x13\x0f\x0c'",1621277144,174397,95000000000,0.016567715
22,5.00E+20,0,500,0,0xbD75540343904343A49E084523596Ed8d9978d7b,"b""\xc1\x17\x83\xfdM\xecF\xc7\xd9$\xd0\xfe'\x19\xf9f\xd1\xff\x8b\xa4\x83Kl\xc6\xa1\xc5)\xc4\x82\xf2\x14(""",1621277275,154461,1.05E+11,0.016141175
22,1.00E+21,5.00E+11,1000,0.05,0x0788373603522a79fCC5710910C20067f64BAD17,b'\x07\xae*\xfa\x87\xae\x15-\xfb9\x891!\x95\x19iH\x95\tV\x1f\x1b\xdd\xffn\x85x>\x85\xbcY\xe9',1621277305,170979,1.01E+11,0.017268879
23,8.81E+20,5.00E+11,881,0.05,0x0788373603522a79fCC5710910C20067f64BAD17,b'\x8b\xde\xf2\xf1\xd5+((\xdc\xe0\xb0\xaa\xd5\xf5L+EU NY\xe0\x126\xf6*_%\x17G\x06\xcb',1621277407,174409,1.01E+11,0.017615309
24,5.00E+20,0,500,0,0xbD75540343904343A49E084523596Ed8d9978d7b,b'\xdc\x8a\xfc\xa1\xfe\xbf\x1cAm\x0cN#H$\xf4\x1e\xbet\x9b=(\x0cX\xf1\xd2r\x16\xb3\x05\xa5Q\xcb',1621278198,154461,1.00E+11,0.015484715
34,5.00E+20,0,500,0,0xbD75540343904343A49E084523596Ed8d9978d7b,b'\x8a\xbbiN\x8c\x0cB\x84\xc4F\x8c\x15F\xac\xfdo\xb0\xb0by\xc3\x0e\r ^{\x9b\xea\x1eM\xec\xf4',1621278560,154461,1.10E+11,0.01699071
33,5.00E+20,0,500,0,0xbD75540343904343A49E084523596Ed8d9978d7b,"b',\x01t\x06W\x96\x18\xd2\xec\xc3\x044\xdc\x10\xcfX\x1d\x0f3\x93/Q\x8b%\x87D\x8dz\x95<\xe9w'",1621278817,154461,1.12E+11,0.017299632
14,0,1.00E+12,0,0.1,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,"b""A<\xe7\xf2h\xe2\x96\xb3s^\xe2\xd4\x15\x1c\xf7\x0c\x11\x0f\xe4\x15\xa8\x83{\xf9'\x9b\x0erp\x83\xaa\x90""",1621279100,140279,1.50E+11,0.02104185
28,0,0,0,0,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,"b""B'\x06\x82\xac\x8dZ\x80\xc9|\xf1I\xd8\xaa\x97\x8a\x03[M\x04\xfc!\r\xd8\x99@)r\x1c\xfb\x95s""",1621279223,120331,1.50E+11,0.01804965
8,0,1.00E+11,0,0.01,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,"b""#\xe6\x8eJ0\xcdi\xd6L\x91l\xdc\xca\xe9'f\xa9\x8e\x06\xc3\xd8K\x03_\xcc\x8a\x9b\xea\r\x9d\xb2J""",1621279805,140279,1.05E+11,0.014729295
15,5.11E+20,5.00E+11,511,0.05,0x51BD9fd860223EF52cF77b517EbaB5cA58dc1c63,b'\xd14\x8d\xfc\xc6tM./By<\x8cC\xa2[\x80\x15\x89(Qq\xc6\x00\xc7j\xbc\x95P\xad3\xb0',1621280480,206509,1.00E+11,0.0206509
16,0,1.00E+11,0,0.01,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'i\x80\xbe\xef\xc2\x15^\xff\x1ah^\xc8``\xce\nx]\x0f\x106]\x9b\xe3\x0eE\xba\x82\xaeo\tE',1621281234,140279,1.00E+11,0.0140279
10,0,1.00E+11,0,0.01,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'\xae\xffH\x8a\xa8f_![\x00u\x93\x1d\xa3:\x84p|\xa7\x7f\n\xaat\xe1\x05X\xa2\x16K\x82\xdc@',1621281300,140279,1.00E+11,0.0140279
19,0,1.00E+11,0,0.01,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'\xdb\xcd\x1f\x9a\xc2\xd7\x1a\x87\x1f+\x85\x90;q\xd6\xdf\xc3\xf0\xaa\x1ex\xdd\xdaxs`\x9d[\xce]\x89\xcb',1621281471,140279,99000000000,0.013887621
11,0,0,0,0,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,"b""\x87\xda\xb1\x0b\x10\x18\x9e\xbe98`7t\xc2'\x10\xb3$\xd4\xddr\xa3%\xcd\xf6sa\xb0\xdb\xe2r:""",1621282428,120331,90000000085,0.01082979
27,6.20E+19,100000000,62,0,0xED6F4Cd9288FB42F9E119F663B810bE25E857D0B,"b'\x88\xbf\xday\xa9""\xda\x9ad\x8c#\x86""\xff\x97MJ1T\xa6\x14\xc4\x9a\xc7\xfb\x8d\x8b8AbS\x8d'",1621283304,174397,95000000000,0.016567715
20,0,0,0,0,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'\x03\xe1bg\xbb$Y:n\xd7\x8d\x1e\x8frU\x06\t\x94f\xce\x1b\xfaU\ti\xae\xdb\xa0IK\x16\xd1',1621283385,120331,97000001459,0.011672107
26,0,0,0,0,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'T\xf8\xcd\xb2B\xf7j\x85T.\x13\xb4K\x95\xf6O\xba\xa9yupr\xfa2\xe2x\x1e\xd6\xb9xK\xe7',1621283465,120331,97000000000,0.011672107
25,0,0,0,0,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'l`*(f\x19\x9c\xcb\x0b}\x0bu\x97\xe9\xf30C4\x9d}=\\k\\\x03\x99\x96\x92\x98\xe2:\x8e',1621283529,120331,90000000000,0.01082979
50,7.80E+19,0,78,0,0x6e5d43A620fC9456A1F23BE69933a516E177dDec,b'U\xc9\x8cNm\xeeu\xeb~\xb8\xf3\xe8\x97\x13\x15\x12t\xb3\x05\x19\xf4\xe7\xfb\xa3\x8c\xb1s\xa3\xe0\xc0\x9e#',1621284539,188441,87000000000,0.016394367
25,2.00E+20,1.00E+13,200,1,0x26098C24cA52ae70FF173817E2285A7971c22139,b'\xe7\xe7\xb7\x1b\x07\xe3;L\xd1+\xde\x1c\xc9\xe6\xabHz\xb1\x13\xa2\xdc\xe7\x1cz#\xbff\x87\xf7\xc3\xb0X',1621289709,191330,68000000000,0.01301044
20,5.00E+20,1.00E+13,500,1,0x26098C24cA52ae70FF173817E2285A7971c22139,b'\xd1\x8co-\xbd\xe0\xce7\xadu\x8a&fPQu\r\xfd\xcb\xcc6i\xbc\xf3Z\xc3\xf8G\xc6\xc1\x85]',1621290076,191330,66000000000,0.01262778
11,1.40E+19,100000000,14,0,0x2c39B8C5B9D31299449474A4D0bcd8F9A32751E4,b'\x98\x82u\x90\x04\xc8\xd0=\x11\xf4\x8eRdg\xa5\x85\xbb\xc8K\x95\xdaA\xcd\x90\xbc\xd31\x83\xaf\xecX\xff',1621294959,191294,62060000000,0.011871706
26,1.01E+20,10000000,100.77,0,0x2c39B8C5B9D31299449474A4D0bcd8F9A32751E4,"b'\xf0<<*$\x12\xba\x1f\x16[\x03\x90\xb6\xc3\xc5\x91\xb1/\xd1\x96[\xb6\xecpaj\xb1""\xf6\x9a\xc3z'",1621295067,176294,62060000000,0.010940806
8,1.17E+20,1.10E+11,117,0.01,0x51BD9fd860223EF52cF77b517EbaB5cA58dc1c63,b's\x17TS\xb7\x11\xff\xae\xb8\xd2p\xd8B\xda\x18\xec\x04\xce\xf8\xb0W(\xd6^;\x18\xb2u\xbf\xceq\xe1',1621298359,174332,54000000000,0.009413928
